Ca,z_over_lgamma
1.680433e-03,0.679021
2.773767e-03,0.746968
3.860779e-03,0.800403
5.042120e-03,0.838415
6.058229e-03,0.886278
6.930332e-03,0.924958
7.683947e-03,0.963485
7.794083e-03,0.977330
8.446143e-03,1.016039
8.619672e-03,1.018104
9.165096e-03,1.080753
9.436792e-03,1.081861
9.860171e-03,1.132169
1.013712e-02,1.170013
1.051576e-02,1.211031
1.094408e-02,1.289285
1.102875e-02,1.378090
1.089327e-02,1.514697
1.045293e-02,1.733309
1.004652e-02,1.990616
9.538461e-03,2.259315
9.292901e-03,2.511877
9.199758e-03,2.755703
9.140427e-03,3.031241
9.132016e-03,3.268039
9.165773e-03,3.507129
