Ca,z_over_lgamma
1.307916e-03,0.685868
2.357953e-03,0.733685
3.648525e-03,0.786255
4.699690e-03,0.825663
6.151429e-03,0.888510
7.057346e-03,0.930650
7.751745e-03,0.963652
8.505358e-03,1.009193
8.615494e-03,1.018316
8.734041e-03,1.027425
8.988068e-03,1.041087
9.081211e-03,1.047903
9.652998e-03,1.085793
9.911033e-03,1.109414
1.042324e-02,1.166340
1.082553e-02,1.218681
1.104563e-02,1.273361
1.123198e-02,1.334826
1.120646e-02,1.437293
1.089327e-02,1.637689
1.043594e-02,1.879040
9.868695e-03,2.124946
9.453785e-03,2.389478
9.287595e-03,2.619309
9.285393e-03,2.875157
9.225102e-03,3.147872
9.235039e-03,3.369975
