Ca,z_over_lgamma
6.392633e-06,0.627044
1.178327e-04,0.631471
2.292856e-04,0.635842
3.407503e-04,0.640162
4.522255e-04,0.644432
5.637105e-04,0.648656
6.752039e-04,0.652838
7.867049e-04,0.656979
8.982124e-04,0.661083
1.009725e-03,0.665153
1.121243e-03,0.669192
1.232763e-03,0.673203
1.344286e-03,0.677189
1.455810e-03,0.681153
1.567334e-03,0.685098
1.678857e-03,0.689027
1.790379e-03,0.692943
1.901897e-03,0.696850
2.013411e-03,0.700749
2.124920e-03,0.704645
2.236423e-03,0.708540
2.347919e-03,0.712437
2.459407e-03,0.716339
2.570885e-03,0.720249
2.682353e-03,0.724171
2.793809e-03,0.728107
2.905253e-03,0.732060
3.016683e-03,0.736034
3.128099e-03,0.740031
3.239499e-03,0.744054
3.350883e-03,0.748107
3.462248e-03,0.752192
3.573595e-03,0.756312
3.684923e-03,0.760471
3.796229e-03,0.764671
3.907513e-03,0.768916
4.018774e-03,0.773208
4.130012e-03,0.777551
4.241224e-03,0.781947
4.352410e-03,0.786400
4.463569e-03,0.790913
4.574699e-03,0.795487
4.685800e-03,0.800128
4.796871e-03,0.804837
4.907911e-03,0.809618
5.018918e-03,0.814473
5.129891e-03,0.819406
5.240830e-03,0.824420
5.351733e-03,0.829518
5.462600e-03,0.834702
5.573429e-03,0.839976
5.684219e-03,0.845343
5.794969e-03,0.850805
5.905678e-03,0.856366
6.016346e-03,0.862030
6.126970e-03,0.867798
6.237551e-03,0.873673
6.348086e-03,0.879660
6.458575e-03,0.885761
6.569017e-03,0.891978
6.679411e-03,0.898316
6.734518e-03,0.901507
6.789812e-03,0.904704
6.845282e-03,0.907911
6.900917e-03,0.911130
6.956706e-03,0.914363
7.012639e-03,0.917615
7.068706e-03,0.920886
7.124895e-03,0.924180
7.181197e-03,0.927501
7.237600e-03,0.930850
7.294095e-03,0.934230
7.350670e-03,0.937644
7.407315e-03,0.941095
7.464019e-03,0.944586
7.520772e-03,0.948119
7.577563e-03,0.951698
7.634383e-03,0.955324
7.691219e-03,0.959001
7.748061e-03,0.962731
7.804900e-03,0.966517
7.861724e-03,0.970363
7.918523e-03,0.974270
7.975286e-03,0.978242
8.032003e-03,0.982280
8.088663e-03,0.986389
8.145255e-03,0.990571
8.201770e-03,0.994828
8.258195e-03,0.999163
8.314522e-03,1.003579
8.370739e-03,1.008079
8.426835e-03,1.012666
8.482801e-03,1.017342
8.538625e-03,1.022110
8.594297e-03,1.026973
8.649806e-03,1.031933
8.705142e-03,1.036994
8.760295e-03,1.042158
8.815253e-03,1.047427
8.870006e-03,1.052806
8.924544e-03,1.058295
8.978856e-03,1.063899
9.032931e-03,1.069620
9.086759e-03,1.075460
9.140329e-03,1.081423
9.193630e-03,1.087511
9.246653e-03,1.093727
9.299387e-03,1.100074
9.351820e-03,1.106554
9.403943e-03,1.113170
9.455744e-03,1.119925
9.507214e-03,1.126822
9.558341e-03,1.133864
9.609116e-03,1.141052
9.659527e-03,1.148391
9.709563e-03,1.155883
9.759216e-03,1.163530
9.808473e-03,1.171335
9.857324e-03,1.179302
9.905759e-03,1.187432
9.953767e-03,1.195729
9.963580e-03,1.197456
9.973580e-03,1.199228
9.983757e-03,1.201043
9.994100e-03,1.202902
1.000460e-02,1.204804
1.001524e-02,1.206747
1.002602e-02,1.208732
1.003692e-02,1.210758
1.004793e-02,1.212825
1.005904e-02,1.214930
1.007024e-02,1.217075
1.008153e-02,1.219258
1.009288e-02,1.221479
1.010429e-02,1.223738
1.011574e-02,1.226032
1.012724e-02,1.228363
1.013876e-02,1.230729
1.015029e-02,1.233130
1.016182e-02,1.235565
1.017335e-02,1.238034
1.018487e-02,1.240535
1.019635e-02,1.243069
1.020779e-02,1.245634
1.021919e-02,1.248231
1.023052e-02,1.250858
1.024178e-02,1.253515
1.025296e-02,1.256201
1.026405e-02,1.258916
1.027503e-02,1.261659
1.028589e-02,1.264429
1.029663e-02,1.267226
1.030724e-02,1.270050
1.031769e-02,1.272899
1.032799e-02,1.275773
1.033812e-02,1.278671
1.034807e-02,1.281594
1.035782e-02,1.284539
1.036738e-02,1.287507
1.037672e-02,1.290497
1.038584e-02,1.293508
1.039473e-02,1.296540
1.040337e-02,1.299592
1.041176e-02,1.302664
1.041988e-02,1.305754
1.042772e-02,1.308863
1.043527e-02,1.311990
1.044253e-02,1.315133
1.044947e-02,1.318293
1.045610e-02,1.321469
1.046239e-02,1.324661
1.046834e-02,1.327866
1.047394e-02,1.331086
1.047917e-02,1.334320
1.048403e-02,1.337566
1.048851e-02,1.340824
1.049259e-02,1.344094
1.049626e-02,1.347375
1.049951e-02,1.350666
1.050234e-02,1.353967
1.050472e-02,1.357278
1.050784e-02,1.362137
1.051079e-02,1.366943
1.051360e-02,1.371697
1.051624e-02,1.376400
1.051873e-02,1.381054
1.052106e-02,1.385661
1.052323e-02,1.390223
1.052525e-02,1.394741
1.052711e-02,1.399217
1.052881e-02,1.403652
1.053036e-02,1.408050
1.053175e-02,1.412410
1.053298e-02,1.416735
1.053405e-02,1.421027
1.053497e-02,1.425286
1.053572e-02,1.429516
1.053632e-02,1.433718
1.053676e-02,1.437893
1.053705e-02,1.442043
1.053717e-02,1.446170
1.053714e-02,1.450275
1.053695e-02,1.454361
1.053660e-02,1.458428
1.053609e-02,1.462479
1.053542e-02,1.466516
1.053459e-02,1.470539
1.053360e-02,1.474552
1.053246e-02,1.478554
1.053115e-02,1.482549
1.052969e-02,1.486538
1.052807e-02,1.490523
1.052628e-02,1.494504
1.052434e-02,1.498485
1.052224e-02,1.502467
1.051997e-02,1.506450
1.051755e-02,1.510439
1.051497e-02,1.514432
1.051223e-02,1.518434
1.050932e-02,1.522445
1.050626e-02,1.526466
1.050303e-02,1.530501
1.049965e-02,1.534550
1.049610e-02,1.538614
1.049240e-02,1.542697
1.048853e-02,1.546799
1.048450e-02,1.550923
1.048031e-02,1.555069
1.047596e-02,1.559240
1.047145e-02,1.563438
1.046677e-02,1.567663
1.046194e-02,1.571918
1.045694e-02,1.576205
1.045178e-02,1.580525
1.044646e-02,1.584879
1.044098e-02,1.589271
1.043533e-02,1.593701
1.042953e-02,1.598170
1.042356e-02,1.602682
1.041742e-02,1.607237
1.041113e-02,1.611837
1.040041e-02,1.619519
1.038947e-02,1.627177
1.037834e-02,1.634811
1.036700e-02,1.642422
1.035548e-02,1.650012
1.034377e-02,1.657580
1.033189e-02,1.665128
1.031985e-02,1.672656
1.030763e-02,1.680166
1.029527e-02,1.687657
1.028276e-02,1.695132
1.027011e-02,1.702591
1.025732e-02,1.710034
1.024441e-02,1.717463
1.023138e-02,1.724879
1.021823e-02,1.732281
1.020499e-02,1.739672
1.019164e-02,1.747051
1.017820e-02,1.754420
1.016468e-02,1.761780
1.015108e-02,1.769131
1.013741e-02,1.776474
1.012368e-02,1.783810
1.010989e-02,1.791141
1.009605e-02,1.798465
1.008217e-02,1.805786
1.006825e-02,1.813103
1.005431e-02,1.820417
1.004034e-02,1.827729
1.002636e-02,1.835040
1.001238e-02,1.842351
9.998389e-03,1.849663
9.984409e-03,1.856975
9.970443e-03,1.864290
9.956497e-03,1.871609
9.942580e-03,1.878931
9.928698e-03,1.886258
9.914857e-03,1.893590
9.901066e-03,1.900929
9.887330e-03,1.908275
9.873658e-03,1.915630
9.860055e-03,1.922993
9.846529e-03,1.930366
9.833088e-03,1.937750
9.819737e-03,1.945145
9.806484e-03,1.952552
9.793336e-03,1.959973
9.780301e-03,1.967408
9.767384e-03,1.974857
9.754593e-03,1.982322
9.741935e-03,1.989803
9.729418e-03,1.997302
9.717047e-03,2.004819
9.704831e-03,2.012355
9.692775e-03,2.019911
9.680888e-03,2.027487
9.669176e-03,2.035085
9.657645e-03,2.042705
9.646304e-03,2.050349
9.635160e-03,2.058016
9.622946e-03,2.066559
9.610843e-03,2.075126
9.598855e-03,2.083717
9.586986e-03,2.092331
9.575240e-03,2.100968
9.563622e-03,2.109628
9.552137e-03,2.118309
9.540788e-03,2.127012
9.529582e-03,2.135737
9.518521e-03,2.144482
9.507610e-03,2.153247
9.496854e-03,2.162032
9.486258e-03,2.170836
9.475825e-03,2.179659
9.465561e-03,2.188501
9.455469e-03,2.197360
9.445555e-03,2.206238
9.435822e-03,2.215132
9.426275e-03,2.224043
9.416920e-03,2.232970
9.407759e-03,2.241914
9.398797e-03,2.250872
9.390040e-03,2.259846
9.381491e-03,2.268833
9.373156e-03,2.277835
9.365037e-03,2.286851
9.357141e-03,2.295879
9.349471e-03,2.304921
9.342032e-03,2.313974
9.334829e-03,2.323040
9.327865e-03,2.332117
9.321145e-03,2.341204
9.314674e-03,2.350303
9.308457e-03,2.359411
9.302497e-03,2.368529
9.296799e-03,2.377656
9.291368e-03,2.386791
9.286208e-03,2.395935
9.281324e-03,2.405087
9.276720e-03,2.414247
9.272400e-03,2.423413
9.268369e-03,2.432585
9.264632e-03,2.441764
9.261193e-03,2.450948
9.258056e-03,2.460138
9.255226e-03,2.469332
9.252708e-03,2.478531
9.250505e-03,2.487733
9.248623e-03,2.496939
9.247065e-03,2.506147
9.245837e-03,2.515358
9.244942e-03,2.524572
9.244386e-03,2.533787
9.244172e-03,2.543003
9.244306e-03,2.552219
9.244791e-03,2.561437
9.245632e-03,2.570653
9.246834e-03,2.579870
9.248401e-03,2.589085
9.250337e-03,2.598299
9.253798e-03,2.613384
9.257218e-03,2.628481
9.260594e-03,2.643589
9.263924e-03,2.658707
9.267206e-03,2.673836
9.270436e-03,2.688975
9.273612e-03,2.704123
9.276731e-03,2.719280
9.279790e-03,2.734446
9.282788e-03,2.749621
9.285720e-03,2.764803
9.288585e-03,2.779993
9.291379e-03,2.795190
9.294101e-03,2.810393
9.296747e-03,2.825603
9.299315e-03,2.840819
9.301802e-03,2.856041
9.304206e-03,2.871267
9.306523e-03,2.886498
9.308751e-03,2.901734
9.310887e-03,2.916974
9.312930e-03,2.932217
9.314875e-03,2.947463
9.316720e-03,2.962712
9.318463e-03,2.977963
9.320102e-03,2.993217
9.321632e-03,3.008471
9.323052e-03,3.023727
9.324359e-03,3.038984
9.325550e-03,3.054241
9.326623e-03,3.069498
9.327575e-03,3.084755
9.328403e-03,3.100011
9.329105e-03,3.115265
9.329677e-03,3.130518
9.330118e-03,3.145769
9.330424e-03,3.161018
9.330593e-03,3.176263
9.330622e-03,3.191506
9.330509e-03,3.206745
9.330251e-03,3.221980
9.329844e-03,3.237210
9.329288e-03,3.252436
9.328578e-03,3.267656
9.327712e-03,3.282871
9.326687e-03,3.298080
9.325502e-03,3.313282
9.324152e-03,3.328478
9.322636e-03,3.343666
9.320951e-03,3.358847
9.319093e-03,3.374020
9.317061e-03,3.389184
9.314852e-03,3.404340
9.312463e-03,3.419486
9.309891e-03,3.434623
9.307134e-03,3.449750
9.304188e-03,3.464867
9.301052e-03,3.479972
9.297723e-03,3.495067
9.294198e-03,3.510150
