theta_rad,Qi_scott,Q_chan,log_c,c
0.1,-3.399640,-2.399640,1.09538768443,2.99034176765
0.2,-2.701800,-1.701800,1.08568650937,2.96147219944
0.3,-2.288442,-1.288442,1.06942393678,2.91370054072
0.4,-1.989559,-0.989559,1.04645791687,2.84754698566
0.5,-1.751748,-0.751748,1.01658131361,2.76373026807
0.6,-1.551079,-0.551079,0.979516461417,2.66316818597
0.7,-1.374626,-0.374626,0.934907413666,2.5469776315
0.8,-1.214487,-0.214487,0.88230407836,2.41646101264
0.9,-1.065352,-0.065352,0.821146838979,2.27310522894
1.0,-0.923350,0.076650,0.750746253731,2.11858042539
1.1,-0.785429,0.214571,0.670250848754,1.95472760012
1.2,-0.648990,0.351010,0.578609472557,1.78355662121
1.3,-0.511644,0.488356,0.474521596688,1.60724510215
1.4,-0.371022,0.628978,0.356364836658,1.42812848685
1.5,-0.224612,0.775388,0.222103843808,1.248701041
1.6,-0.069580,0.930420,0.0691535121085,1.07160070021
1.7,0.097430,1.097430,-0.105800121485,0.899604441707
1.8,0.280572,1.280572,-0.307072424047,0.735597324043
1.9,0.485179,1.485179,-0.540374542805,0.582530029079
2.0,0.718325,1.718325,-0.813408036095,0.443344554392
2.1,0.989705,1.989705,-1.13680301402,0.320843114878
2.2,1.313059,2.313059,-1.52563804794,0.217482248486
2.3,1.708597,2.708597,-2.00202191481,0.135061923271
2.4,2.207374,3.207374,-2.59973063002,0.0742935879812
2.5,2.859730,3.859730,-3.37310529792,0.0342830129102
2.6,3.753054,4.753054,-4.41566931438,0.0120864617745
2.7,5.053636,6.053636,-5.903718012,0.00272927844113
2.8,7.121957,8.121957,-8.21561712045,0.000270397591651
2.9,10.914176,11.914176,-12.3444250524,4.35395882353e-06
3.0,20.084725,21.084725,-22.0428696296,2.67241163903e-10
