theta_deg,log10_viscosity_ratio,Q_reference,Q_interpolated,absolute_error_Q,reference_estimated_error_Q,absolute_weighted_node_sensitivity_Q,checkpoint_error_budget_Q,table_cell_theta_index,table_cell_log10_M_index,reference_converged
31.25,-1.9375,-0.65428562255609424,-0.65428218746271694,3.4350933773019676e-06,0.0002073832260247599,0.0004831234638094653,0.0006939417832115271,0,0,True
31.25,-1.8125,-0.65343874894619347,-0.65343470553094718,4.0434152462909267e-06,0.0002077021423159131,0.00035603033432231079,0.00056777589188451477,0,1,True
31.25,-1.625,-0.65161993964334042,-0.65161404124413769,5.8983992027306087e-06,0.00020838792801392003,0.00046254367742783084,0.00067683000464448142,0,2,True
31.25,-1.375,-0.64762793413049558,-0.64762088950517316,7.0446253224165645e-06,0.00020990007849919223,0.00042333939142030514,0.00064028409524191394,0,3,True
31.25,-1.125,-0.64067857818208873,-0.64067395776469394,4.620417394796128e-06,0.00021255433605738006,0.00043022935939553679,0.00064740411284771302,0,4,True
31.25,-0.875,-0.62876814710652407,-0.62877075257831916,2.6054717950918516e-06,0.00021716878401667472,0.0004420561055756291,0.00066183036138739567,0,5,True
31.25,-0.625,-0.60887414249951233,-0.60888472340806776,1.0580908555435364e-05,0.00022506171384817364,0.00046188819535426877,0.00069753081775787771,0,6,True
31.25,-0.375,-0.57695618216267541,-0.57693671091553411,1.9471247141300552e-05,0.00023821075345487053,0.00047570756224421892,0.00073338956284039005,0,7,True
31.25,-0.125,-0.52858248534857277,-0.52860995887927187,2.7473530699095861e-05,0.00025923724633036827,0.00076558715802118259,0.0010522979350506467,0,8,True
33.75,-1.9375,-0.56908097056212958,-0.56907704357145961,3.9269906699779256e-06,0.00023364924271085385,0.00043387813712683371,0.00067145437050766549,1,0,True
33.75,-1.8125,-0.56825321048389887,-0.56824868546864837,4.5250152505005303e-06,0.00023403297879664997,0.00031973823783187726,0.00055829623187902771,1,1,True
33.75,-1.625,-0.56647618688795243,-0.56646989661649105,6.2902714613732869e-06,0.0002348588813980701,0.00041538093425752635,0.00065653008711696968,1,2,True
33.75,-1.375,-0.56257935816529381,-0.56257207611073667,7.2820545571339323e-06,0.00023667788084624775,0.00038014641743543706,0.00062410635283881874,1,3,True
33.75,-1.125,-0.55580669855508713,-0.55580183667596139,4.8618791257393212e-06,0.00023986653715013517,0.00038629224521642832,0.00063102066149230281,1,4,True
33.75,-0.875,-0.54422977787749627,-0.54423128359522654,1.5057177302768565e-06,0.0002453967452298311,0.00039684375052545084,0.00064374621348555882,1,5,True
33.75,-0.625,-0.52497006629184395,-0.52497621278426487,6.1464924209220229e-06,0.0002548185149731097,0.00041454267571179576,0.00067550768310582743,1,6,True
33.75,-0.375,-0.49423019600824181,-0.49421527671507909,1.491929316271845e-05,0.00027041482390632865,0.00042687855555850681,0.00071221267262755396,1,7,True
33.75,-0.125,-0.44785564847061243,-0.44787036869181529,1.4720221202857431e-05,0.000295111819654581,0.00068690261467580882,0.00099673465553324725,1,8,True
37.5,-1.9375,-0.45008388628367269,-0.45004675430714342,3.7131976529269917e-05,0.00016198449224424927,0.0005520530979757775,0.00075116956674929668,2,0,True
37.5,-1.8125,-0.44931729259019315,-0.4492795352364285,3.7757353764655832e-05,0.0001623092384255287,0.00040684831628056409,0.00060691490847074856,2,1,True
37.5,-1.625,-0.44767238942394139,-0.44763290003043787,3.9489393503511216e-05,0.00016300709542815817,0.00052874783113254407,0.00073124432006421345,2,2,True
37.5,-1.375,-0.44406904635111344,-0.44402842206392251,4.0624287190926811e-05,0.0001645401267853508,0.00048430916786437625,0.00068947358184065391,2,3,True
37.5,-1.125,-0.43781806613171037,-0.43777902131021784,3.9044821492528747e-05,0.00016721321557833235,0.00049273269524509062,0.00069899073231595172,2,4,True
37.5,-0.875,-0.42716337397997051,-0.42712801882439311,3.5355155577398989e-05,0.00017180856557308388,0.00050711316743608605,0.00071427688858656893,2,5,True
37.5,-0.625,-0.40950568979165869,-0.40946910343859599,3.6586353062695309e-05,0.00017952472469828784,0.00053102742904504591,0.00074713850680602906,2,6,True
37.5,-0.375,-0.38142232566519807,-0.38138021111758008,4.2114547617988496e-05,0.00019201151902081826,0.00054758506289347142,0.00078171112953227817,2,7,True
37.5,-0.125,-0.33900702171854302,-0.33896284771502883,4.4174003514196869e-05,0.0002111400930788765,0.00088206413103400776,0.0011373782276270811,2,8,True
