# Pseudo-arclength continuation results
# mu_r=1e-06, lambda_slip=0.001, theta0=59.99999999999999°
# Ca, X_cl, delta_X_cl, theta_min_deg, arc_length
0.00100000 0.00129269 0.00129269 59.9678 0.000000
0.00200000 0.00376720 0.00376720 59.8010 0.005000
0.00387341 0.00838692 0.00838692 59.2966 0.010000
0.00612821 0.01398908 0.01398908 58.4938 0.016000
0.00881654 0.02049202 0.02049202 57.3383 0.023200
0.01211740 0.02873652 0.02873652 55.6670 0.031840
0.01597105 0.03947019 0.03947019 53.3588 0.042208
0.02017516 0.05298569 0.05298569 50.3142 0.054650
0.02460964 0.07148931 0.07148931 46.2320 0.069580
0.02878505 0.09619815 0.09619815 40.8213 0.087495
0.03236727 0.14566339 0.14566339 31.6243 0.108995
0.03283313 0.17775337 0.17775337 26.7824 0.115444
0.03283488 0.17967185 0.17967185 26.5271 0.115565
