# Extended pseudo-arclength continuation results
# mu_r=1e-06, lambda_slip=0.001, theta0=59.99999999999999°
# Ca, X_cl, delta_X_cl, theta_min_deg, arc_length, stability
0.00100000 0.53018144 0.01253089 59.9678 0.000000 unknown
0.00200000 0.54296356 0.02531301 59.8010 0.010000 unknown
0.00276679 0.55293413 0.03528358 59.6178 0.020000 unknown
0.00367178 0.56489996 0.04724941 59.3593 0.032000 unknown
0.00473611 0.57926059 0.06161004 59.0102 0.046400 unknown
0.00598233 0.59649563 0.07884507 58.5507 0.063680 unknown
0.00743362 0.61718083 0.09953027 57.9569 0.084416 unknown
0.00911229 0.64200742 0.12435687 57.1997 0.109299 unknown
0.01103740 0.67180528 0.15415473 56.2437 0.139159 unknown
0.01322114 0.70757074 0.18992018 55.0468 0.174991 unknown
0.01566343 0.75049994 0.23284938 53.5584 0.217989 unknown
0.01826523 0.80043277 0.28278221 51.7759 0.267989 unknown
0.02061857 0.85037797 0.33272742 49.9533 0.317989 unknown
0.02273165 0.90033388 0.38268333 48.1015 0.367989 unknown
0.02461297 0.95029902 0.43264846 46.2284 0.417989 unknown
0.02627130 1.00027201 0.48262145 44.3403 0.467989 unknown
0.02771578 1.05025159 0.53260104 42.4426 0.517989 unknown
0.02895596 1.10023663 0.58258608 40.5398 0.567989 unknown
0.03000182 1.15022608 0.63257552 38.6364 0.617989 unknown
0.03086381 1.20021901 0.68256846 36.7367 0.667989 unknown
0.03155293 1.25021471 0.73256416 34.8450 0.717989 unknown
0.03208068 1.30021219 0.78256163 32.9659 0.767989 unknown
0.03245907 1.35021124 0.83256069 31.1039 0.817989 unknown
0.03270062 1.40021214 0.88256159 29.2639 0.867989 unknown
0.03281831 1.45023501 0.93258446 27.4501 0.917989 unknown
0.03283459 1.47393598 0.95628542 26.6016 0.967989 unknown
0.03283459 1.47393693 0.95628638 26.6016 1.017989 unknown
