s,h,theta,w,x
0.000000000000000000e+00,1.000000000000000048e-04,1.570796326794896558e+00,-3.944386260228776564e+02,0.000000000000000000e+00
1.543364212964506150e-06,1.015433641181591538e-04,1.570189783473723732e+00,-3.915716997678351845e+02,9.450380216627781894e-23
3.086728425929012300e-06,1.030867276716034697e-04,1.569587624591488151e+00,-3.887566897323814032e+02,9.361171981121871127e-10
4.630092638893518662e-06,1.046300901067648970e-04,1.568989771261417587e+00,-3.859920025790863747e+02,2.801584468754925276e-09
6.173456851858024601e-06,1.061734508818939154e-04,1.568396147001061891e+00,-3.832761152547871575e+02,5.589756111259458356e-09
7.716821064822531386e-06,1.077168094666985687e-04,1.567806677626985001e+00,-3.806075709376348755e+02,9.294104153035160245e-09
9.260185277787037324e-06,1.092601653419985095e-04,1.567221291155486806e+00,-3.779849752719615026e+02,1.390821481461339640e-08
1.080354949075154326e-05,1.108035179993935310e-04,1.566639917708929408e+00,-3.754069928667767044e+02,1.942578512729980972e-08
1.234691370371604920e-05,1.123468669409456657e-04,1.566062489427278326e+00,-3.728723440360465133e+02,2.584061969481961841e-08
1.543364212964506277e-05,1.154335517352588435e-04,1.564919206512570105e+00,-3.679281888295598151e+02,4.045263548705907656e-08
1.852037055557407465e-05,1.185202159393909449e-04,1.563790936813816979e+00,-3.631432758351418784e+02,5.859360529154206172e-08
2.160709898150308653e-05,1.216068559168786333e-04,1.562677202113296415e+00,-3.585090879285326082e+02,8.021716481538742138e-08
2.469382740743209840e-05,1.246934681721799994e-04,1.561577549470753112e+00,-3.540177528686666619e+02,1.052784224211682670e-07
2.778055583336111028e-05,1.277800493431123865e-04,1.560491549332243988e+00,-3.496619802289130234e+02,1.337338813839956270e-07
3.086728425929012554e-05,1.308665961938369380e-04,1.559418793821760740e+00,-3.454350058455374892e+02,1.655413679626417952e-07
3.395401268521913403e-05,1.339531056083395882e-04,1.558358895194098537e+00,-3.413305427331715123e+02,2.006599647228015894e-07
3.704074111114814930e-05,1.370395745843635822e-04,1.557311484430408122e+00,-3.373427375844002540e+02,2.390499486167908466e-07
4.012746953707716456e-05,1.401260002277536271e-04,1.556276209960378187e+00,-3.334661321081078995e+02,2.806727333810497876e-07
4.321419796300617305e-05,1.432123797471762335e-04,1.555252736497112043e+00,-3.296956285747941706e+02,3.254908158621767615e-07
4.630092638893518154e-05,1.462987104491845363e-04,1.554240743972566507e+00,-3.260264590312850714e+02,3.734677259250593206e-07
4.938765481486419681e-05,1.493849897335985900e-04,1.553239926562953732e+00,-3.224541577257497806e+02,4.245679796339676033e-07
5.247438324079321207e-05,1.524712150891760140e-04,1.552249991794816264e+00,-3.189745363495914603e+02,4.787570354300610453e-07
5.556111166672222056e-05,1.555573840895494331e-04,1.551270659723619660e+00,-3.155836617579142285e+02,5.360012530573171588e-07
5.864784009265123582e-05,1.586434943894103296e-04,1.550301662177669959e+00,-3.122778358767488953e+02,5.962678550139623649e-07
6.173456851858025109e-05,1.617295437209197379e-04,1.549342742061006639e+00,-3.090535775445370064e+02,6.595248903285953900e-07
6.482129694450925958e-05,1.648155298903293824e-04,1.548393652709646684e+00,-3.059076060687497147e+02,7.257412004797144074e-07
6.790802537043826807e-05,1.679014507747970779e-04,1.547454157296187072e+00,-3.028368263069464774e+02,7.948863872946466203e-07
7.099475379636729011e-05,1.709873043193827033e-04,1.546524028278319474e+00,-2.998383151058654335e+02,8.669307826792253169e-07
7.408148222229629860e-05,1.740730885342115224e-04,1.545603046887301213e+00,-2.969093089529540634e+02,9.418454200432284744e-07
7.716821064822530708e-05,1.771588014917933581e-04,1.544691002652834655e+00,-2.940471927126381502e+02,1.019602007298756275e-06
8.025493907415432913e-05,1.802444413244865082e-04,1.543787692961187563e+00,-2.912494893350509528e+02,1.100172901319622085e-06
8.334166750008333761e-05,1.833300062220968071e-04,1.542892922643709586e+00,-2.885138504382705378e+02,1.183531083759574858e-06
8.642839592601234610e-05,1.864154944296026980e-04,1.542006503593180700e+00,-2.858380476766656102e+02,1.269650138135916668e-06
8.951512435194135459e-05,1.895009042449979420e-04,1.541128254405694786e+00,-2.832199648179841347e+02,1.358504228092951575e-06
9.260185277787036308e-05,1.925862340172444277e-04,1.540258000045991782e+00,-2.806575904605570599e+02,1.450068076766773316e-06
9.568858120379938512e-05,1.956714821443278167e-04,1.539395571534361684e+00,-2.781490113296187587e+02,1.544316947179306013e-06
9.877530962972839361e-05,1.987566470714097655e-04,1.538540805653419108e+00,-2.756924060984205767e+02,1.641226623595279474e-06
1.018620380556574021e-04,2.018417272890707045e-04,1.537693544673201629e+00,-2.732860396856651164e+02,1.740773393781060373e-06
1.049487664815864241e-04,2.049267213316374021e-04,1.536853636093193698e+00,-2.709282579859327029e+02,1.842934032108999125e-06
1.080354949075154462e-04,2.080116277755902985e-04,1.536020932399996486e+00,-2.686174829942994506e+02,1.947685783455263475e-06
1.111222233334444547e-04,2.110964452380459757e-04,1.535195290839484583e+00,-2.663522082903422188e+02,2.055006347843058735e-06
1.142089517593734632e-04,2.141811723753102076e-04,1.534376573202388627e+00,-2.641309948502567977e+02,2.164873865786694741e-06
1.172956801853024852e-04,2.172658078814974187e-04,1.533564645622333522e+00,-2.619524671589454670e+02,2.277266904295223171e-06
1.203824086112314937e-04,2.203503504872128635e-04,1.532759378385449844e+00,-2.598153095967037416e+02,2.392164443497349396e-06
1.234691370371605022e-04,2.234347989582940574e-04,1.531960645750742422e+00,-2.577182630776051155e+02,2.509545863852043462e-06
1.265558654630895242e-04,2.265191520946078000e-04,1.531168325780474015e+00,-2.556601219188781045e+02,2.629390933911769358e-06
1.296425938890185463e-04,2.296034087289001893e-04,1.530382300179882415e+00,-2.536397309225295658e+02,2.751679798607539929e-06
1.327293223149475683e-04,2.326875677256962105e-04,1.529602454145596813e+00,-2.516559826522176877e+02,2.876392968027109299e-06
1.358160507408765632e-04,2.357716279802468131e-04,1.528828676222180993e+00,-2.497078148899454106e+02,3.003511306659542051e-06
1.389027791668055582e-04,2.388555884175203861e-04,1.528060858166267577e+00,-2.477942082585463197e+02,3.133016023081184408e-06
1.419895075927345802e-04,2.419394479912367066e-04,1.527298894817789243e+00,-2.459141839971955505e+02,3.264888660059682594e-06
1.481629644445925972e-04,2.481068605010873225e-04,1.525792126297398577e+00,-2.422511582364298874e+02,3.533333510048781391e-06
1.543364212964506142e-04,2.542738576803596322e-04,1.524307586553587557e+00,-2.387116439035843882e+02,3.811071223835439748e-06
1.605098781483086311e-04,2.604404321041291909e-04,1.522844533615269391e+00,-2.352890765961030581e+02,4.097964090797883387e-06
1.666833350001666481e-04,2.666065767273650446e-04,1.521402264533344706e+00,-2.319773709866286993e+02,4.393878983341081611e-06
1.728567918520246922e-04,2.727722848621672849e-04,1.519980112563190877e+00,-2.287708763491973514e+02,4.698687116367125960e-06
1.790302487038827363e-04,2.789375501567166677e-04,1.518577444605912152e+00,-2.256643370836286238e+02,5.012263824089849356e-06
1.852037055557407533e-04,2.851023665757783268e-04,1.517193658879580020e+00,-2.226528575812034489e+02,5.334488352602014707e-06
1.913771624075987702e-04,2.912667283826196130e-04,1.515828182795431855e+00,-2.197318708731592380e+02,5.665243666780299658e-06
1.975506192594567872e-04,2.974306301222167238e-04,1.514480471017185970e+00,-2.168971105854715802e+02,6.004416270267196965e-06
2.037240761113148042e-04,3.035940666056377471e-04,1.513150003684349487e+00,-2.141445857918797913e+02,6.351896037403301223e-06
2.098975329631728483e-04,3.097570328955023713e-04,1.511836284782741791e+00,-2.114705584145843886e+02,6.707576056101002241e-06
2.160709898150308924e-04,3.159195242924268108e-04,1.510538840647456471e+00,-2.088715228704525657e+02,7.071352480753795965e-06
2.222444466668889093e-04,3.220815363223739850e-04,1.509257218585227101e+00,-2.063441877014881811e+02,7.443124394366297828e-06
2.268745393057824424e-04,3.267027281895884929e-04,1.508306124094674239e+00,-2.044938715042241881e+02,7.727876357969225759e-06
2.315046319446759484e-04,3.313236462900144108e-04,1.507363509805585977e+00,-2.026809054267959880e+02,8.017023511891690975e-06
2.361347245835694543e-04,3.359442889630481722e-04,1.506429205542163308e+00,-2.009041066330071317e+02,8.310526409436418341e-06
2.407648172224629603e-04,3.405646546073019180e-04,1.505503046485187291e+00,-1.991623436574855361e+02,8.608346393319694234e-06
2.453949098613564662e-04,3.451847416783576802e-04,1.504584872940825324e+00,-1.974545335622691766e+02,8.910445570877638136e-06
2.500250025002499722e-04,3.498045486866260280e-04,1.503674530122156350e+00,-1.957796392847598383e+02,9.216786790340936839e-06
2.546550951391435324e-04,3.544240741953041908e-04,1.502771867942560124e+00,-1.941366671618925182e+02,9.527333618119311376e-06
2.592851877780370383e-04,3.590433168184265530e-04,1.501876740820189182e+00,-1.925246646167458948e+02,9.842050317040942450e-06
2.639152804169305443e-04,3.636622752190045438e-04,1.500989007492800509e+00,-1.909427179950553182e+02,1.016090182549571221e-05
2.685453730558241044e-04,3.682809481072486530e-04,1.500108530842279020e+00,-1.893899505402011698e+02,1.048385373743438466e-05
2.731754656947176104e-04,3.728993342388695954e-04,1.499235177728237112e+00,-1.878655204962453809e+02,1.081087228317898277e-05
2.778055583336111163e-04,3.775174324134545007e-04,1.498368818830120297e+00,-1.863686193294909117e+02,1.114192431100250530e-05
2.824356509725046223e-04,3.821352414729129810e-04,1.497509328497287795e+00,-1.848984700598524000e+02,1.147697726943860975e-05
2.870657436113981283e-04,3.867527602999906353e-04,1.496656584606581797e+00,-1.834543256940614242e+02,1.181599919028450551e-05
2.963259288891851944e-04,3.959869229836174048e-04,1.494970864495599683e+00,-1.806412048757932780e+02,1.250191815424037365e-05
3.055861141669722605e-04,4.052199122904870886e-04,1.493310747073220091e+00,-1.779238268801366587e+02,1.320340333447871602e-05
3.148462994447592724e-04,4.144517206149519670e-04,1.491675369349289682e+00,-1.752971558716696450e+02,1.392021636359476398e-05
3.241064847225462843e-04,4.236823408819715624e-04,1.490063913281903352e+00,-1.727565141777872668e+02,1.465212688879742561e-05
3.333666700003333505e-04,4.329117665124285782e-04,1.488475602612021609e+00,-1.702975502325085415e+02,1.539891215537103538e-05
3.426268552781204166e-04,4.421399913911476997e-04,1.486909699978599564e+00,-1.679162099696918631e+02,1.616035661942323248e-05
3.518870405559074285e-04,4.513670098373666426e-04,1.485365504284345883e+00,-1.656087112333643176e+02,1.693625158732675544e-05
3.611472258336944404e-04,4.605928165774356717e-04,1.483842348285924428e+00,-1.633715208345076633e+02,1.772639487953881626e-05
3.704074111114815065e-04,4.698174067195451734e-04,1.482339596385612968e+00,-1.612013339354594450e+02,1.853059051672354315e-05
3.796675963892685727e-04,4.790407757303028228e-04,1.480856642604162499e+00,-1.590950554868087465e+02,1.934864842631527142e-05
3.889277816670555846e-04,4.882629194129995049e-04,1.479392908716984589e+00,-1.570497834786829685e+02,2.018038416784753757e-05
3.981879669448425965e-04,4.974838338874202227e-04,1.477947842537841838e+00,-1.550627937997702475e+02,2.102561867553769313e-05
4.074481522226296626e-04,5.067035155710694020e-04,1.476520916336004907e+00,-1.531315265242250803e+02,2.188417801676322531e-05
4.167083375004167287e-04,5.159219611616930106e-04,1.475111625374399660e+00,-1.512535734695170504e+02,2.275589316519556273e-05
4.259685227782037406e-04,5.251391676209933536e-04,1.473719486557620639e+00,-1.494266668879311624e+02,2.364059978747241870e-05
4.352287080559907526e-04,5.343551321594390210e-04,1.472344037179886600e+00,-1.476486691713215293e+02,2.453813804239248996e-05
4.444888933337778187e-04,5.435698522220828739e-04,1.470984833764052535e+00,-1.459175634632889000e+02,2.544835239170799158e-05
4.537490786115648848e-04,5.527833254753110326e-04,1.469641450983719011e+00,-1.442314450855463406e+02,2.637109142167266352e-05
4.630092638893518967e-04,5.619955497944492543e-04,1.468313480661284975e+00,-1.425885136961534840e+02,2.730620767457650594e-05
4.722694491671389086e-04,5.712065232521631617e-04,1.467000530835513628e+00,-1.409870661067856474e+02,2.825355748956446980e-05
4.815296344449259205e-04,5.804162441075898758e-04,1.465702224892811767e+00,-1.394254896944641757e+02,2.921300085209587629e-05
4.907898197227129325e-04,5.896247107961512853e-04,1.464418200756989252e+00,-1.379022563503868071e+02,3.018440125145493524e-05
5.000500050004999444e-04,5.988319219199942029e-04,1.463148110132766133e+00,-1.364159169148056492e+02,3.116762554577110172e-05
5.093101902782870647e-04,6.080378762390156646e-04,1.461891617798741327e+00,-1.349650960524325853e+02,3.216254383405178118e-05
5.185703755560740766e-04,6.172425726624301140e-04,1.460648400945933068e+00,-1.335484875277119556e+02,3.316902933476941623e-05
5.278305608338610885e-04,6.264460102408406315e-04,1.459418148558364603e+00,-1.321648498435793044e+02,3.418695827058126815e-05
5.370907461116482089e-04,6.356481881587790813e-04,1.458200560832476844e+00,-1.308130022110987909e+02,3.521620975879238331e-05
5.463509313894352208e-04,6.448491057276817826e-04,1.456995348632447618e+00,-1.294918208207079999e+02,3.625666570720226711e-05
5.556111166672222327e-04,6.540487623792738160e-04,1.455802232978744337e+00,-1.282002353887503432e+02,3.730821071500294397e-05
5.648713019450092446e-04,6.632471576593313919e-04,1.454620944567475593e+00,-1.269372259555964462e+02,3.837073197842032722e-05
5.741314872227962565e-04,6.724442912217990778e-04,1.453451223318309227e+00,-1.257018199139803869e+02,3.944411920081388942e-05
5.833916725005833769e-04,6.816401628232377071e-04,1.452292817948920067e+00,-1.244930892482492624e+02,4.052826450696989102e-05
5.926518577783703888e-04,6.908347723175813949e-04,1.451145485574092620e+00,-1.233101479670693408e+02,4.162306236134239254e-05
6.019120430561574007e-04,7.000281196511849019e-04,1.450008991327763397e+00,-1.221521497137802186e+02,4.272840949001381193e-05
6.111722283339445210e-04,7.092202048581408569e-04,1.448883108006426390e+00,-1.210182855400620099e+02,4.384420480616227302e-05
6.204324136117315329e-04,7.184110280558517669e-04,1.447767615732447499e+00,-1.199077818298996903e+02,4.497034933883784392e-05
6.296925988895185448e-04,7.276005894408394672e-04,1.446662301635955439e+00,-1.188198983620123528e+02,4.610674616486338531e-05
6.389527841673055568e-04,7.367888892847782424e-04,1.445566959554073883e+00,-1.177539264999773820e+02,4.725330034368753203e-05
6.482129694450925687e-04,7.459759279307376324e-04,1.444481389746362199e+00,-1.167091875002354584e+02,4.840991885502929202e-05
6.574731547228796890e-04,7.551617057896216952e-04,1.443405398625411618e+00,-1.156850309290224459e+02,4.957651053916403282e-05
6.667333400006667009e-04,7.643462233367938861e-04,1.442338798501630270e+00,-1.146808331800504561e+02,5.075298603971020066e-05
