s,h,theta,w,x
0.000000000000000000e+00,1.000000000000000048e-04,1.570796326794896558e+00,-3.941171289075925301e+02,0.000000000000000000e+00
2.058024773679015496e-06,1.020580245496626408e-04,1.569989160873844769e+00,-3.903067775176856458e+02,1.260176725825981069e-22
4.116049547358030992e-06,1.041160477681501707e-04,1.569189742104528662e+00,-3.865877691159645337e+02,1.661167281614521564e-09
6.174074321037046912e-06,1.061740683590965716e-04,1.568397886339599090e+00,-3.829564101891010068e+02,4.967556953043133385e-09
8.232099094716061985e-06,1.082320850627031410e-04,1.567613416810307969e+00,-3.794092208710524119e+02,9.903602095789297736e-09
1.029012386839507875e-05,1.102900966542706224e-04,1.566836163703634099e+00,-3.759429188609150287e+02,1.645409863602829624e-08
1.234814864207409382e-05,1.123481019428121316e-04,1.566065963770952196e+00,-3.725544048251163076e+02,2.460419108278064358e-08
1.440617341575310890e-05,1.144060997697411496e-04,1.565302659965354337e+00,-3.692407491224919909e+02,3.433935906822971416e-08
1.646419818943212397e-05,1.164640890076291496e-04,1.564546101105055875e+00,-3.659991797109219647e+02,4.564540463144988603e-08
1.852222296311113904e-05,1.185220685590284237e-04,1.563796141560579445e+00,-3.628270711115114864e+02,5.850844019207620686e-08
2.058024773679015411e-05,1.205800373553553414e-04,1.563052640963658702e+00,-3.597219343212309468e+02,7.291487716517499013e-08
2.263827251046916919e-05,1.226379943558303257e-04,1.562315463936009063e+00,-3.566814075778387405e+02,8.885141517279444589e-08
2.469629728414818426e-05,1.246959385464706824e-04,1.561584479836301220e+00,-3.537032478921017855e+02,1.063050318114728146e-07
2.675432205782719933e-05,1.267538689391329524e-04,1.560859562523837729e+00,-3.507853232720569281e+02,1.252629729383929737e-07
2.881234683150621779e-05,1.288117845706015444e-04,1.560140590137577776e+00,-3.479256055725313672e+02,1.457127434419470867e-07
3.087037160518522948e-05,1.308696845017210753e-04,1.559427444889285530e+00,-3.451221639105411896e+02,1.676420984652518761e-07
3.292839637886424794e-05,1.329275678165693403e-04,1.558720012869693416e+00,-3.423731585936657211e+02,1.910390350536665141e-07
3.498642115254326640e-05,1.349854336216686106e-04,1.558018183866675566e+00,-3.396768355141788334e+02,2.158917841996356559e-07
3.704444592622227808e-05,1.370432810452332781e-04,1.557321851194513052e+00,-3.370315209667131171e+02,2.421888032602424283e-07
3.910247069990128977e-05,1.391011092364512192e-04,1.556630911533423589e+00,-3.344356168516326306e+02,2.699187687247367971e-07
4.116049547358030823e-05,1.411589173647971693e-04,1.555945264778593851e+00,-3.318875962301759728e+02,2.990705693110006304e-07
4.321852024725932669e-05,1.432167046193763744e-04,1.555264813898024956e+00,-3.293859992008636937e+02,3.296332993714731518e-07
4.527654502093833837e-05,1.452744702082967292e-04,1.554589464798557197e+00,-3.269294290697078509e+02,3.615962525904743091e-07
4.733456979461735006e-05,1.473322133580676956e-04,1.553919126199495571e+00,-3.245165487894627745e+02,3.949489159561608682e-07
4.939259456829636852e-05,1.493899333130248351e-04,1.553253709513305880e+00,-3.221460776455573978e+02,4.296809639915370520e-07
5.145061934197538698e-05,1.514476293347781131e-04,1.552593128732894900e+00,-3.198167881684869371e+02,4.657822532300282604e-07
5.350864411565439867e-05,1.535053007016832680e-04,1.551937300325029190e+00,-3.175275032543520410e+02,5.032428169221238965e-07
5.762469366301243559e-05,1.576205666650690065e-04,1.550639578267220653e+00,-3.130644745522739072e+02,5.808629029988910455e-07
6.174074321037045896e-05,1.617357257461827234e-04,1.549359920845586602e+00,-3.087484842090501047e+02,6.638234606496065895e-07
6.585679275772849588e-05,1.658507727255244832e-04,1.548097739223353475e+00,-3.045716758835159226e+02,7.520500123218321848e-07
6.997284230508653280e-05,1.699657026075509462e-04,1.546852475672187532e+00,-3.005267802405295470e+02,8.454705008302513455e-07
7.408889185244455617e-05,1.740805106081368407e-04,1.545623601274462633e+00,-2.966070585947707627e+02,9.440151617021976468e-07
7.820494139980257954e-05,1.781951921429557046e-04,1.544410613843610003e+00,-2.928062531368269106e+02,1.047616404944617004e-06
8.232099094716061646e-05,1.823097428166948108e-04,1.543213036037362818e+00,-2.891185428407246718e+02,1.156208705338517104e-06
8.643704049451865338e-05,1.864241584130295500e-04,1.542030413642122122e+00,-2.855385042926974961e+02,1.269728500470201899e-06
9.055309004187667675e-05,1.905384348852901574e-04,1.540862314009544543e+00,-2.820610767970623556e+02,1.388114095797834189e-06
9.466913958923470012e-05,1.946525683477608550e-04,1.539708324628911162e+00,-2.786815312113311620e+02,1.511305576129333611e-06
9.878518913659273704e-05,1.987665550675579305e-04,1.538568051820909943e+00,-2.753954420428424328e+02,1.639244722955006920e-06
1.018722262971112613e-04,2.018519466440801976e-04,1.537721621868767263e+00,-2.729897015070350790e+02,1.738717383591648521e-06
1.049592634576297992e-04,2.049372521947346389e-04,1.536882543131455003e+00,-2.706325383592702565e+02,1.840801612125540385e-06
1.080463006181483235e-04,2.080224702993942448e-04,1.536050668103235761e+00,-2.683223747217073765e+02,1.945474654997698096e-06
1.111333377786668478e-04,2.111075995785213636e-04,1.535225854037732152e+00,-2.660577042993871260e+02,2.052714213820115139e-06
1.142203749391853721e-04,2.141926386917217826e-04,1.534407962733492559e+00,-2.638370881922257922e+02,2.162498430717997289e-06
1.173074120997038964e-04,2.172775863363654873e-04,1.533596860332014922e+00,-2.616591510070026629e+02,2.274805874331689778e-06
