Ca,theta_min_rad,theta_min_deg,x0
1.000000000000000048e-04,1.570114467386637847e+00,8.996093233368549136e+01,8.701557513852906632e-05
1.000000000000000048e-04,1.570114466437172895e+00,8.996093227928514580e+01,8.740837717572957379e-05
1.253861573370130286e-04,1.569941241575350643e+00,8.995100722579600472e+01,1.096131846200608254e-04
1.373823795883262326e-04,1.569859367685281670e+00,8.994631619744272655e+01,1.195685289987965269e-04
1.572168845174219871e-04,1.569723968974240158e+00,8.993855842274854240e+01,1.374636328886336936e-04
1.887391822135097666e-04,1.569508723939277761e+00,8.992622579068405742e+01,1.643122651704439336e-04
1.971282101813647989e-04,1.569451424967847952e+00,8.992294280145067376e+01,1.723979177105273584e-04
2.471714877736440352e-04,1.569109512715133992e+00,8.990335267240637052e+01,2.162221942672955190e-04
2.592943797404666934e-04,1.569026657791803947e+00,8.989860543498765821e+01,2.258231697141706643e-04
3.099188305520972136e-04,1.568680519034918452e+00,8.987877314509222515e+01,2.712056418704230265e-04
3.562247890262443891e-04,1.568363734435995083e+00,8.986062272455916400e+01,3.104057771941547703e-04
3.885953124930833732e-04,1.568142174607672912e+00,8.984792828148667354e+01,3.402005935769921124e-04
4.872447299268354583e-04,1.567466462977425534e+00,8.980921285690558875e+01,4.267946768786843757e-04
4.893900918477493787e-04,1.567451765649641393e+00,8.980837076205342839e+01,4.267535791935696634e-04
6.109374436823666529e-04,1.566618106964410950e+00,8.976060563783531165e+01,5.363396095774916085e-04
6.723357536499335093e-04,1.566196553435439398e+00,8.973645239978640120e+01,5.868720554596520630e-04
7.660309843662975763e-04,1.565552639772973098e+00,8.969955886455626626e+01,6.730676064190684559e-04
9.236708571873865261e-04,1.564467697707220495e+00,8.963739626317243392e+01,8.073713337042782729e-04
9.604968153077954795e-04,1.564213934710945164e+00,8.962285671448925939e+01,8.448350286765091361e-04
1.204330048058832939e-03,1.562531027211573553e+00,8.952643321746434424e+01,1.060727686493453470e-03
1.268961003167922178e-03,1.562084163887464738e+00,8.950082983497374300e+01,1.111293988017073497e-03
1.510063168915972863e-03,1.560413998402806701e+00,8.940513640161441344e+01,1.334325598977022199e-03
1.743328822199987282e-03,1.558793619784315965e+00,8.931229554556165340e+01,1.554733232105028973e-03
1.893410180865266225e-03,1.557748606974017846e+00,8.925242072199446852e+01,1.676609611254628205e-03
2.374074268414748216e-03,1.554389207740533685e+00,8.905994132421633935e+01,2.111132991482606892e-03
2.395026619987486016e-03,1.554242373153869483e+00,8.905152832211392422e+01,2.143669494175923663e-03
2.976760497492059870e-03,1.550149317713145347e+00,8.881701352004736805e+01,2.660108864418660353e-03
3.290344562312667517e-03,1.547930956992911611e+00,8.868991081334038995e+01,2.959793236849462411e-03
3.732445600931445697e-03,1.544788845852348880e+00,8.850988110622509453e+01,3.354779405060132145e-03
4.520353656360240856e-03,1.539146342696807945e+00,8.818658948952335663e+01,4.094537895308248202e-03
4.679970113702323041e-03,1.537996507587114037e+00,8.812070879060192397e+01,4.235579385210711152e-03
5.868034690091988165e-03,1.529365071739238191e+00,8.762616394538072484e+01,5.363536836721016603e-03
6.210169418915616364e-03,1.526855184787479836e+00,8.748235801599001604e+01,5.679749505834983704e-03
7.357703209109251775e-03,1.518355588703812487e+00,8.699536703282994665e+01,6.804256693594292957e-03
8.531678524172804992e-03,1.509527365767319829e+00,8.648954711796832839e+01,8.031623466632687239e-03
9.225541322164182781e-03,1.504243957947338783e+00,8.618683014843699652e+01,8.665621617737489721e-03
1.156755175739993327e-02,1.486037864774548245e+00,8.514369784821417397e+01,1.108695206836774264e-02
1.172102297533480532e-02,1.484824006553047360e+00,8.507414889519490941e+01,1.124671817611702998e-02
1.450410864657390893e-02,1.462340897392697681e+00,8.378596162997493479e+01,1.428547652522241598e-02
1.610262027560939099e-02,1.449002631230156934e+00,8.302173527283919441e+01,1.612141890714422279e-02
1.818614448792447297e-02,1.431115361556959176e+00,8.199687021355262573e+01,1.856202054657179676e-02
2.212216291070448135e-02,1.395617804511956717e+00,7.996301001184909296e+01,2.339720559572078945e-02
2.280290774116549776e-02,1.389230897630647776e+00,7.959706720340703612e+01,2.440682187732332031e-02
2.859168977775172066e-02,1.331495639676680165e+00,7.628908059354557736e+01,3.271960007691555178e-02
3.039195382313197857e-02,1.312116485088013595e+00,7.517873682508340494e+01,3.568140893274081293e-02
3.585002113004244484e-02,1.248162925649503263e+00,7.151446778441770391e+01,4.528200458542259305e-02
4.175318936560400152e-02,1.167286689916909204e+00,6.688060081403492063e+01,5.808903491460964963e-02
4.495096389946747623e-02,1.116130315957798658e+00,6.394955649098493922e+01,6.705137203666468315e-02
5.888184879812341510e-02,8.255201899941146948e-01,4.729882278950061902e+01,1.270107303432605472e-01
5.889208750274486925e-02,7.736927568539361255e-01,4.432932960757193541e+01,1.401626224533058518e-01
