s,h,theta,w,x
0.000000000000000000e+00,1.000000000000000048e-04,1.570796326794896558e+00,-3.708772092066505621e+01,0.000000000000000000e+00
1.543364212964506150e-06,1.015433642121269290e-04,1.570739322502007873e+00,-3.678342331494195605e+01,9.450380216627781894e-23
3.086728425929012300e-06,1.030867284192694234e-04,1.570682783414797168e+00,-3.648484425005847243e+01,8.797838558228492046e-11
4.630092638893518662e-06,1.046300926165541348e-04,1.570626700846107671e+00,-3.619180543476741008e+01,2.632171746702718243e-10
6.173456851858024601e-06,1.061734567992252105e-04,1.570571066377774994e+00,-3.590413650091289099e+01,5.250117923658506423e-10
7.716821064822531386e-06,1.077168209626405844e-04,1.570515871848758405e+00,-3.562167454476720962e+01,8.726706558086590754e-10
9.260185277787037324e-06,1.092601851022682782e-04,1.570461109343952222e+00,-3.534426370101522963e+01,1.305514777353043305e-09
1.080354949075154326e-05,1.108035492136829307e-04,1.570406771183633143e+00,-3.507175474663822712e+01,1.822877385012407761e-09
1.234691370371604920e-05,1.123469132925624514e-04,1.570352849913496440e+00,-3.480400473221521906e+01,2.424103559189598820e-09
1.543364212964506277e-05,1.154336413359250991e-04,1.570246229298015272e+00,-3.428223905250621328e+01,3.792996210379462389e-09
1.852037055557407465e-05,1.185203691997269669e-04,1.570141192025856780e+00,-3.377793605176317726e+01,5.490997705397579578e-09
2.160709898150308653e-05,1.216070968527997498e-04,1.570037685680277795e+00,-3.329014575924028208e+01,7.513220675150404226e-09
2.469382740743209840e-05,1.246938242653510898e-04,1.569935660662950427e+00,-3.281799072909252146e+01,9.854939544098732365e-09
2.778055583336111028e-05,1.277805514088859720e-04,1.569835069981329934e+00,-3.236065891619645640e+01,1.251158183082844125e-08
3.086728425929012554e-05,1.308672782561340418e-04,1.569735869056663180e+00,-3.191739740333290598e+01,1.547872010493608544e-08
3.395401268521913403e-05,1.339540047809823170e-04,1.569638015550203658e+00,-3.148750686058359705e+01,1.875206453651971681e-08
